model,encoding,accuracy,mae,f1_macro,f1_weighted,adjacent_error,severe_error
Ridge Regression,Ordinal,0.502902321857486,0.605484387510008,0.3062658292955933,0.5244373162643863,0.819206764646668,0.180793235353332
Ordinal Logistic Regression,Ordinal,0.658626901521217,0.5360288230584468,0.37019278784808085,0.604947796470789,0.6525945470536499,0.34740545294635006
